Protein;Protein ID;Entry Name;Gene;Protein Length;Organism;Protein Existence;Description;Protein Probability;Top Peptide Probability;Combined Total Peptides;Combined Spectral Count;Combined Total Spectral Count;WT_RT_1 Intensity;WT_RT_2 Intensity;WT_RT_3 Intensity;WT_Cold_1 Intensity;WT_Cold_2 Intensity;WT_Cold_2 Intensity;WT_RT_1 MaxLFQ Intensity;WT_RT_2 MaxLFQ Intensity;WT_RT_3 MaxLFQ Intensity;WT_Cold_1 MaxLFQ Intensity;WT_Cold_2 MaxLFQ Intensity;WT_Cold_3 MaxLFQ Intensity;Indistinguishable Proteins
rev_sp|Q9SGY1|AB10B_ARATH;rev_Q9SGY1;rev_AB10B_ARATH;rev_ABCB10;1227;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;ABC transporter B family member 10;0.8306;0.9978;1;2;2;0;0;0;0;19176.924;0;0;0;0;0;0;0;
rev_sp|Q9STF2|PTA16_ARATH;rev_Q9STF2;rev_PTA16_ARATH;rev_PTAC16;510;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Protein PLASTID TRANSCRIPTIONALLY ACTIVE 16, chloroplastic;0.9987;0.9987;2;10;10;78977.78;229404.55;0;0;33207.78;44678.938;0;0;0;0;0;0;
rev_sp|Q9XII1|PDV2_ARATH;rev_Q9XII1;rev_PDV2_ARATH;rev_PDV2;307;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Plastid division protein PDV2;0.9138;0.999;1;1;1;0;0;0;0;142047.95;0;0;0;0;0;0;0;
rev_sp|Q9ZSM8|EZA1_ARATH;rev_Q9ZSM8;rev_EZA1_ARATH;rev_EZA1;856;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Histone-lysine N-methyltransferase EZA1;0.8337;0.9979;1;9;9;0;0;0;58701.81;45711.152;19391.082;0;0;0;0;0;0;
rev_tr|A0A1P8AT95|A0A1P8AT95_ARATH;rev_A0A1P8AT95;rev_A0A1P8AT95_ARATH;rev_At1g16800;2226;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;P-loop containing nucleoside triphosphate hydrolases superfamily protein;0.8073;0.9975;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;
rev_tr|A4FVS4|A4FVS4_ARATH;rev_A4FVS4;rev_A4FVS4_ARATH;rev_At1g76380;580;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;At1g76380;0.7871;0.9971;1;19;19;17066.43;19889.443;152835.39;0;0;13425.24;0;0;0;0;0;0;
rev_tr|F4ISU2|F4ISU2_ARATH;rev_F4ISU2;rev_F4ISU2_ARATH;rev_AT2G32240;1333;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Early endosome antigen;0.8959;0.9988;1;3;3;9536.816;0;0;0;0;0;0;0;0;0;0;0;
rev_tr|F4JP86|F4JP86_ARATH;rev_F4JP86;rev_F4JP86_ARATH;rev_DL4840C;1828;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;tRNA/rRNA methyltransferase (SpoU) family protein;0.9862;0.9984;2;32;32;8168.006;47596.32;188009.16;9599.431;26474.744;66268.99;0;0;0;0;0;0;
rev_tr|O22787|O22787_ARATH;rev_O22787;rev_O22787_ARATH;rev_AT2G33360;603;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;At2g33360;0.8444;0.998;1;1;1;0;0;6040.125;0;0;0;0;0;0;0;0;0;
rev_tr|Q8H1E5|Q8H1E5_ARATH;rev_Q8H1E5;rev_Q8H1E5_ARATH;rev_At4g32190;783;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Myosin heavy chain-related protein;0.9767;0.9985;1;4;4;429146.34;0;0;8733.991;27652.312;0;0;0;0;0;0;0;
rev_tr|Q9FMN8|Q9FMN8_ARATH;rev_Q9FMN8;rev_Q9FMN8_ARATH;rev_MXC9.22;624;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;AT5g12260/MXC9_22;0.9765;0.998;1;14;14;20291.277;96824.01;795336.4;0;0;15600.262;0;74188.01;627724.7;0;0;0;
rev_tr|Q9LMT6|Q9LMT6_ARATH;rev_Q9LMT6;rev_Q9LMT6_ARATH;rev_AT1G17940;405;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;At1g17940;0.9513;0.9971;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;
rev_tr|Q9MAB4|Q9MAB4_ARATH;rev_Q9MAB4;rev_Q9MAB4_ARATH;rev_At3g05050;593;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;AT3g05050/T12H1_1;1;0.9978;2;29;29;104970.94;108195.53;0;85687.91;95012.16;55794.01;87253.71;0;0;70933.21;71106.414;0;
sp|A0MFS5|WTF1_ARATH;A0MFS5;WTF1_ARATH;At4g01037;528;Arabidopsis thaliana OX=3702;3:Protein inferred from homology;Protein WHAT'S THIS FACTOR 1 homolog, chloroplastic;1;0.999;3;5;5;39576.176;33371.77;21027.842;0;0;41427.992;20962.285;0;0;0;0;22027.73;
sp|A1A6H3|RBSK_ARATH;A1A6H3;RBSK_ARATH;RBSK;379;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Ribokinase;0.9145;0.999;1;1;1;0;0;25319.824;0;0;0;0;0;0;0;0;0;
sp|A1A6M1|PTAC5_ARATH;A1A6M1;PTAC5_ARATH;PTAC5;387;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Protein disulfide isomerase pTAC5, chloroplastic;1;0.999;28;464;464;3054263.2;3644282.2;4871872;754812.8;992044.56;1706449.1;746170.94;860215.94;1107193.5;221185.84;275252.9;451829.03;
sp|A1L4X0|CLT2_ARATH;A1L4X0;CLT2_ARATH;CLT2;431;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;Protein CLT2, chloroplastic;1;0.999;3;27;27;95687.67;87522.5;42295.793;52491.27;96240.25;279636.22;73000.87;0;0;42047.492;83539.95;114481.195;
sp|A1L4Y1|GET3B_ARATH;A1L4Y1;GET3B_ARATH;GET3B;411;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;ATPase GET3B;1;0.999;18;206;206;1052373.1;1477055.1;2379836.5;87589.15;269345.8;681549.94;169897;224912.27;331666.1;33766.125;52188.625;110320.71;
sp|A2RVM0|TIC32_ARATH;A2RVM0;TIC32_ARATH;TIC32;322;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;Short-chain dehydrogenase TIC 32, chloroplastic;1;0.999;26;640;640;3460017;4098053.8;9165908;809343.5;1549044.8;3138364.5;396090;444255.22;925634.1;128660.22;198535.58;358340.7;
sp|A3KPF5|PDI15_ARATH;A3KPF5;PDI15_ARATH;PDIL1-5;537;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;Protein disulfide isomerase-like 1-5;0.9654;0.9977;2;7;7;226212.06;0;336639.03;0;0;0;0;0;0;0;0;0;
sp|A8MPR5|FTSI2_ARATH;A8MPR5;FTSI2_ARATH;FTSHI2;876;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Probable inactive ATP-dependent zinc metalloprotease FTSHI 2, chloroplastic;1;0.999;93;1366;1366;5700176;9302955;1.36E+07;1936372.6;3213836;7988652;419028.16;636289.56;1073099.6;166861.8;255882.86;545225.25;
sp|A8MS68|PLPD1_ARATH;A8MS68;PLPD1_ARATH;LPD1;623;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;Dihydrolipoyl dehydrogenase 1, chloroplastic;1;0.999;25;75;400;336393.75;363277.78;815844.06;189608.89;186013.66;224784.97;101914.7;106945.97;184834.31;65715.336;65924.336;65729.13;
sp|B3LF83|Y74B2_ARATH;B3LF83;Y74B2_ARATH;CYP74B2;384;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;Probable inactive linolenate hydroperoxide lyase;1;0.999;17;72;72;694332.56;451851.16;1962312.5;98446.445;250038.8;585431.7;213583.52;116913.85;619525.1;57349.816;80020.44;172037.19;
sp|B6IDH3|RUS5_ARATH;B6IDH3;RUS5_ARATH;RUS5;509;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;Protein root UVB sensitive 5;1;0.9985;3;8;8;0;36149.918;41653.766;0;0;9456.407;0;14290.727;46172.645;0;0;0;
sp|B9DFG3|ISE2_ARATH;B9DFG3;ISE2_ARATH;ISE2;1171;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;DExH-box ATP-dependent RNA helicase DExH15 chloroplastic;1;0.999;12;47;47;162520.73;187107.78;553055.75;65371.4;106520.84;194115.28;68487.62;83262.61;147237.22;30566.104;38595.305;65050.73;
sp|B9DFI7|PMT2_ARATH;B9DFI7;PMT2_ARATH;At1g26850;616;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;Probable methyltransferase PMT2;1;0.999;4;14;14;11769.503;0;61538.086;0;21045.436;73218.22;0;0;41245.42;0;13366.135;34951.97;
sp|B9DFK5|RETIC_ARATH;B9DFK5;RETIC_ARATH;RE;432;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Protein RETICULATA, chloroplastic;1;0.999;31;881;881;5313602;7850339.5;8906257;1575154.6;2800078.8;5536277;711785.94;1152874.6;1412429.9;302150.94;463427.94;892562.75;
sp|B9DGD6|ACS_ARATH;B9DGD6;ACS_ARATH;ACS;743;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Acetyl-coenzyme A synthetase, chloroplastic/glyoxysomal;1;0.999;11;46;46;133054.94;118676.61;446507.72;11990.057;32268.203;123371.14;34318.734;38687.03;70259.74;0;19377.205;36219.945;
sp|B9DGT7|TBA2_ARATH;B9DGT7;TBA2_ARATH;TUBA2;450;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;Tubulin alpha-2 chain;1;0.999;6;44;44;81980;133947.34;198228.45;44678.594;46750.58;68673.22;68715.04;67440.41;180034.81;0;33320.047;45347.797;sp|P29511|TBA6_ARATH, sp|Q0WV25|TBA4_ARATH
sp|B9DGY1|AB1K7_ARATH;B9DGY1;AB1K7_ARATH;ABC1K7;695;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Protein ACTIVITY OF BC1 COMPLEX KINASE 7, chloroplastic;0.9848;0.999;2;3;9;10760.33;0;19267.45;0;10818.275;34508.88;0;0;0;0;0;0;
sp|B9DHG0|PYG7_ARATH;B9DHG0;PYG7_ARATH;PYG7;301;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Tetratricopeptide repeat domain-containing protein PYG7, chloroplastic;1;0.999;4;28;28;24885.844;8348.491;67525.086;44248.953;59925.195;80615.484;15430.225;0;61641.684;17271.238;24194.129;48880.53;
sp|C0LGE0|Y1765_ARATH;C0LGE0;Y1765_ARATH;At1g07650;1014;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Probable LRR receptor-like serine/threonine-protein kinase At1g07650;0.985;0.999;3;3;8;0;0;22438.992;0;0;0;0;0;0;0;0;0;
sp|C0LGG4|Y1518_ARATH;C0LGG4;Y1518_ARATH;At1g51860;890;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;Probable LRR receptor-like serine/threonine-protein kinase At1g51860;0.6317;0.9989;2;2;2;0;0;0;0;11684.156;0;0;0;0;0;0;0;
sp|C0Z361|CPNB3_ARATH;C0Z361;CPNB3_ARATH;CPN60B3;597;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Chaperonin 60 subunit beta 3, chloroplastic;1;0.999;37;65;675;176651.83;131605.8;284551.97;18051.06;85134.85;271485.44;65304.45;56319.098;125450.79;0;46694.445;112919.766;
sp|D8WUA4|SECA2_ARATH;D8WUA4;SECA2_ARATH;SECA2;1058;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Protein translocase subunit SECA2, chloroplastic;1;0.999;53;727;727;2828860.5;4134477.5;5695302.5;958914.94;1605097.1;3541269.8;280994.2;383939.53;576887.4;106260.95;168192.2;319736.25;
sp|F4HQD4|HSP7P_ARATH;F4HQD4;HSP7P_ARATH;HSP70-15;831;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Heat shock 70 kDa protein 15;1;0.999;6;17;17;26462.852;0;142313.77;39123.805;19447.662;90828.1;29436.23;0;69691.984;0;0;45781.27;sp|Q9S7C0|HSP7O_ARATH
sp|F4HS99|REC1_ARATH;F4HS99;REC1_ARATH;REC1;1797;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Protein REDUCED CHLOROPLAST COVERAGE 1;0.9043;0.9989;1;1;1;0;0;0;3132.0588;0;0;0;0;0;0;0;0;
sp|F4HT41|SAMC2_ARATH;F4HT41;SAMC2_ARATH;SAMC2;345;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;Probable S-adenosylmethionine carrier 2, chloroplastic;1;0.999;12;66;119;148902.78;139550.31;351758.72;25396.158;79724.57;179843.75;38416.492;39690.934;80557.9;12592.933;19807.393;38112.434;
sp|F4HTQ1|MPRO1_ARATH;F4HTQ1;MPRO1_ARATH;At1g67690;710;Arabidopsis thaliana OX=3702;3:Protein inferred from homology;Probable thimet oligopeptidase;1;0.999;18;259;259;651748.75;618291.1;2096998;118755.66;271571.72;708237.94;168993.11;150260.16;430965.62;45503.504;77082.19;162031.48;
sp|F4HTT6|CP26B_ARATH;F4HTT6;CP26B_ARATH;CYP26-2;317;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;Peptidyl-prolyl cis-trans isomerase CYP26-2, chloroplastic;1;0.999;7;52;52;101742.4;10478.554;129701.1;67224.57;133898.81;248233.98;31502.86;0;52283.758;26902.74;35836.59;57002.184;
sp|F4HYF3|DCYD1_ARATH;F4HYF3;DCYD1_ARATH;DCD;401;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Bifunctional D-cysteine desulfhydrase/1-aminocyclopropane-1-carboxylate deaminase, mitochondrial;1;0.999;5;33;33;43461.152;31350.363;35817.47;0;7310.901;22971.336;23660.678;21434.982;0;0;0;15292.458;
sp|F4I0K2|SCKL2_ARATH;F4I0K2;SCKL2_ARATH;FLN2;614;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Fructokinase-like 2, chloroplastic;1;0.999;3;9;9;30542.4;25648.053;43752.844;23042.11;21582.463;25899.484;0;0;0;0;0;0;
sp|F4I116|SYLC_ARATH;F4I116;SYLC_ARATH;At1g09620;1091;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Leucine--tRNA ligase, cytoplasmic;1;0.999;4;5;5;0;0;26172.934;0;0;3969.615;0;0;0;0;0;0;
sp|F4I3P9|MURE_ARATH;F4I3P9;MURE_ARATH;MURE;772;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase MurE homolog, chloroplastic;0.9998;0.999;2;5;5;0;11430.0625;54685.8;0;0;7704.8926;0;0;0;0;0;0;
sp|F4I5Q2|FBT8_ARATH;F4I5Q2;FBT8_ARATH;At1g04570;542;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;Probable folate-biopterin transporter 8, chloroplastic;1;0.999;4;28;28;0;0;0;99801.33;81860.36;102590.45;0;0;0;40273.78;37277.168;42685.805;
sp|F4I7I0|ALAT1_ARATH;F4I7I0;ALAT1_ARATH;ALAAT1;543;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Alanine aminotransferase 1, mitochondrial;1;0.999;4;12;12;0;0;52001.203;0;0;78154.695;0;0;48493.562;0;0;30585.016;
sp|F4I893|ILA_ARATH;F4I893;ILA_ARATH;ILA;2696;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Protein ILITYHIA;0.9077;0.9989;1;2;2;0;0;15171.804;0;0;25109.715;0;0;0;0;0;0;
sp|F4I907|GLYR2_ARATH;F4I907;GLYR2_ARATH;GLYR2;358;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Glyoxylate/succinic semialdehyde reductase 2, chloroplastic;1;0.999;6;23;23;64873.695;56360.242;257246.4;10059.521;17309.057;53504.766;22054.512;32481.12;143913.31;0;0;29975.125;
sp|F4IAG2|SSY3_ARATH;F4IAG2;SSY3_ARATH;SS3;1042;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Starch synthase 3, chloroplastic/amyloplastic;1;0.999;8;25;25;112448.336;70953.99;17802.588;0;22544.145;40773.562;43342.95;40901.297;0;0;15718.298;24358.6;
sp|F4ICF4|RBL10_ARATH;F4ICF4;RBL10_ARATH;RBL10;343;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;RHOMBOID-like protein 10, chloroplastic;1;0.999;6;52;52;134387.61;713091.5;589414.25;0;14008.184;279232.03;88878.16;342365.75;340686.53;0;0;153176.27;
sp|F4IDS7|VPS18_ARATH;F4IDS7;VPS18_ARATH;VPS18;988;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Vacuolar sorting protein 18;1;0.999;4;16;16;6427.2925;0;0;0;7853.7354;39734.535;0;0;0;0;0;16703.84;
sp|F4IFC5|SYTM2_ARATH;F4IFC5;SYTM2_ARATH;EMB2761;650;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;Threonine--tRNA ligase, chloroplastic/mitochondrial 2;1;0.999;14;54;54;419700.75;123175.95;1289025.6;250996.03;263001.56;198598.22;115793.57;132490.9;216396.22;45328.48;52981.926;94575.7;
sp|F4IHY7|PTA12_ARATH;F4IHY7;PTA12_ARATH;PTAC12;527;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Protein PLASTID TRANSCRIPTIONALLY ACTIVE 12, chloroplastic;0.9145;0.999;1;3;3;0;0;25124.16;0;0;6317.88;0;0;0;0;0;0;
sp|F4IP13|SHGR6_ARATH;F4IP13;SHGR6_ARATH;SGR6;1716;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;Protein SHOOT GRAVITROPISM 6;1;0.999;5;11;11;24284.883;31596.412;0;0;14027.092;19788.96;0;0;0;0;0;0;
sp|F4IQV7|SCY2_ARATH;F4IQV7;SCY2_ARATH;SCY2;575;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;Preprotein translocase subunit SCY2, chloroplastic;1;0.999;3;13;13;14339.783;66241.65;95541.086;8065.0176;15716.929;52224.85;0;34835.18;50600.18;0;0;24568.412;
sp|F4ISL7|TI236_ARATH;F4ISL7;TI236_ARATH;TIC236;2166;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Protein TIC236, chloroplastic;1;0.999;36;230;230;413424.66;613311.8;844548.94;48473.43;182574.17;576386.7;53171.074;80769.836;131674.31;25464.62;35139.14;69050.69;
sp|F4IUW3|AVT1C_ARATH;F4IUW3;AVT1C_ARATH;AVT1C;550;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Amino acid transporter AVT1C;0.9144;0.999;1;1;1;0;13006.782;0;0;0;0;0;0;0;0;0;0;
sp|F4IVL6|GRV2_ARATH;F4IVL6;GRV2_ARATH;GRV2;2554;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;DnaJ homolog subfamily C GRV2;1;0.999;7;20;20;25086.46;0;40093.523;17979.145;35088.402;16258.03;17659.262;0;26726.93;0;16078.009;0;
sp|F4IW47|TKTC2_ARATH;F4IW47;TKTC2_ARATH;TKL-2;741;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Transketolase-2, chloroplastic;1;0.9985;14;7;283;298002.4;329337.9;625499.56;0;0;69991.16;0;0;0;0;0;0;
sp|F4IZC4|BASS4_ARATH;F4IZC4;BASS4_ARATH;BASS4;436;Arabidopsis thaliana OX=3702;3:Protein inferred from homology;Probable sodium/metabolite cotransporter BASS4, chloroplastic;1;0.999;5;72;72;438808.3;434495.56;683350.1;122210.46;231508.2;335543.3;275380.2;359840.53;872618.4;101191.125;176677.67;237819.4;
sp|F4J117|LSF1_ARATH;F4J117;LSF1_ARATH;LSF1;591;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Phosphoglucan phosphatase LSF1, chloroplastic;1;0.999;3;13;13;5438.7007;4800.114;50016.05;0;0;5424.1143;0;0;37906.953;0;0;0;
sp|F4J220|LPPE1_ARATH;F4J220;LPPE1_ARATH;LPPE1;279;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Lipid phosphate phosphatase epsilon 1, chloroplastic;0.9995;0.999;2;2;2;0;14842.684;27016.754;0;0;0;0;0;0;0;0;0;
sp|F4J3N2|FTSI5_ARATH;F4J3N2;FTSI5_ARATH;FTSHI5;1320;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;Probable inactive ATP-dependent zinc metalloprotease FTSHI 5, chloroplastic;1;0.999;116;2285;2285;1.23E+07;1.68E+07;2.41E+07;5478065.5;8052224.5;1.57E+07;670784.9;894885.25;1374184.2;330329.94;439407.2;819494.4;
sp|F4J469|TI22L_ARATH;F4J469;TI22L_ARATH;TIC22L;313;Arabidopsis thaliana OX=3702;3:Protein inferred from homology;Protein TIC 22-like, chloroplastic;1;0.999;9;141;141;549790.6;705574.44;904604.8;354048.66;667069.2;1090441.1;172001.56;197002.66;230172.48;115047.68;153550.02;229338.34;
sp|F4J5M9|CLC3_ARATH;F4J5M9;CLC3_ARATH;At3g51890;258;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Clathrin light chain 3;0.886;0.9986;1;1;1;26666.72;0;0;0;0;0;0;0;0;0;0;0;
sp|F4JF21|PTA10_ARATH;F4JF21;PTA10_ARATH;PTAC10;668;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Protein PLASTID TRANSCRIPTIONALLY ACTIVE 10;1;0.999;6;24;24;13177.856;24592.447;82407.92;8078.48;6932.311;129858;0;39824.008;136093.94;0;0;39395.86;
sp|F4JFN3|HS906_ARATH;F4JFN3;HS906_ARATH;HSP90-6;799;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Heat shock protein 90-6, mitochondrial;1;0.999;8;5;49;0;0;62969.914;0;0;12165.644;0;0;0;0;0;0;
sp|F4JGR5|PFPB2_ARATH;F4JGR5;PFPB2_ARATH;PFP-BETA2;569;Arabidopsis thaliana OX=3702;3:Protein inferred from homology;Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit beta 2;0.9891;0.9982;2;2;2;0;0;0;0;7968.981;0;0;0;0;0;0;0;
